time,high,low,open,volume_from,volume_to,close
2022-04-01 00:00:00+00:00,97.6,97.37,97.4,441.98,43078.24,97.47
2022-04-01 00:01:00+00:00,97.63,97.2,97.63,2696.72,262390.43,97.2
2022-04-01 00:02:00+00:00,97.16,96.89,96.91,562.41,54592.35,97.07
2022-04-01 00:03:00+00:00,97.32,97,97.07,347.48,33817.68,97.32
2022-04-01 00:04:00+00:00,97.87,97.41,97.32,496.87,48604.59,97.82
2022-04-01 00:05:00+00:00,98.2,97.88,97.88,366.92,35966.36,98.05
2022-04-01 00:06:00+00:00,98.1,97.87,97.89,510.84,50067.74,98.01
2022-04-01 00:07:00+00:00,98.09,97.95,98.01,435.04,42632.16,98
2022-04-01 00:08:00+00:00,97.94,97.62,98,586.83,57311.43,97.66
2022-04-01 00:09:00+00:00,97.72,97.58,97.66,331.53,32365.88,97.63
2022-04-01 00:10:00+00:00,97.68,97.36,97.63,214.14,20847.97,97.36
2022-04-01 00:11:00+00:00,97.52,97.39,97.36,376.92,36723.66,97.43
2022-04-01 00:12:00+00:00,97.4,97.35,97.37,751.92,73206.74,97.4
2022-04-01 00:13:00+00:00,97.57,97.52,97.54,429.51,41906.08,97.57
2022-04-01 00:14:00+00:00,97.5,97.39,97.5,433.49,42228.02,97.49
2022-04-01 00:15:00+00:00,97.45,97.27,97.53,146.69,14275.45,97.32
2022-04-01 00:16:00+00:00,97.24,97.11,97.16,96.29,9360.37,97.21
2022-04-01 00:17:00+00:00,97.31,97.15,97.18,1516,147402.27,97.31
2022-04-01 00:18:00+00:00,97.42,96.98,97.31,460.75,44800.03,96.98
2022-04-01 00:19:00+00:00,96.98,96.87,96.98,302.68,29323.88,96.97
2022-04-01 00:20:00+00:00,96.97,96.86,96.97,362.69,35132.33,96.92
2022-04-01 00:21:00+00:00,96.97,96.8,96.97,179.24,17351.23,96.8
2022-04-01 00:22:00+00:00,96.85,96.78,96.8,802.44,77663.5,96.85
2022-04-01 00:23:00+00:00,96.91,96.8,96.85,933.3,90421.05,96.91
2022-04-01 00:24:00+00:00,96.99,96.91,96.91,572.7,55544.03,96.97
2022-04-01 00:25:00+00:00,96.99,96.96,96.97,673.63,65329.6,96.99
2022-04-01 00:26:00+00:00,97.38,97.29,97.28,97.28,9468.35,97.33
2022-04-01 00:27:00+00:00,97.29,97.2,97.33,273.58,26592.63,97.2
2022-04-01 00:28:00+00:00,97.2,97.05,97.05,102.12,9921.63,97.18
2022-04-01 00:29:00+00:00,97.12,97.12,97.12,42.31,4108.99,97.12
2022-04-01 00:30:00+00:00,97.06,97.01,97.12,197.86,19195.21,97.01
2022-04-01 00:31:00+00:00,96.88,96.74,97.01,171.72,16612.18,96.74
2022-04-01 00:32:00+00:00,97.17,96.23,96.71,377.07,36305.59,96.23
2022-04-01 00:33:00+00:00,96.53,96.48,96.4,1386.23,133813.13,96.53
2022-04-01 00:34:00+00:00,96.61,96.52,96.53,78.25,7556.13,96.56
2022-04-01 00:35:00+00:00,96.61,96.52,96.56,105.97,10232.89,96.56
2022-04-01 00:36:00+00:00,96.97,96.78,96.56,62.8,6089.47,96.97
2022-04-01 00:37:00+00:00,97.01,96.96,96.97,109.9,10661,97.01
2022-04-01 00:38:00+00:00,97.13,97.04,97.01,88.49,8595.12,97.13
2022-04-01 00:39:00+00:00,97.25,97.15,97.13,235.1,22862.41,97.25
2022-04-01 00:40:00+00:00,97.35,97.26,97.25,295.5,28740.81,97.26
2022-04-01 00:41:00+00:00,97.26,97.13,97.26,89.4,8687.09,97.17
2022-04-01 00:42:00+00:00,97.24,97.14,97.17,51.6,5017.34,97.24
2022-04-01 00:43:00+00:00,97.31,97.27,97.24,467.04,45449.61,97.31
2022-04-01 00:44:00+00:00,97.45,97.36,97.31,315.74,30755.84,97.41
2022-04-01 00:45:00+00:00,97.41,97.33,97.33,161.99,15777.59,97.41
2022-04-01 00:46:00+00:00,97.45,97.45,97.43,346.53,33770.46,97.45
2022-04-01 00:47:00+00:00,97.45,97.36,97.45,689.19,67101.93,97.36
2022-04-01 00:48:00+00:00,97.35,97.23,97.35,167.37,16273.84,97.23
2022-04-01 00:49:00+00:00,97.35,97.22,97.25,57.01,5548.23,97.32
2022-04-01 00:50:00+00:00,97.32,97.22,97.32,74.09,7203.31,97.22
2022-04-01 00:51:00+00:00,97.21,97.03,97.27,98.61,9567.64,97.03
2022-04-01 00:52:00+00:00,97.17,97.1,97.09,57.55,5591.99,97.17
2022-04-01 00:53:00+00:00,97.1,97,97.17,90.55,8783.11,97
2022-04-01 00:54:00+00:00,96.99,96.96,97,153.15,14853.89,96.99
2022-04-01 00:55:00+00:00,96.96,96.9,96.99,51.58,5001.38,96.96
2022-04-01 00:56:00+00:00,97.01,96.96,96.96,111.74,10834.69,96.96
2022-04-01 00:57:00+00:00,96.85,96.71,96.96,78.01,7548.28,96.76
2022-04-01 00:58:00+00:00,96.75,96.69,96.74,124.28,12016.44,96.69
2022-04-01 00:59:00+00:00,96.99,96.89,96.76,57.12,5537.21,96.94
2022-04-01 01:00:00+00:00,96.84,96.66,96.94,144.01,13919.39,96.66
2022-04-01 01:01:00+00:00,96.63,96.59,96.66,114.81,11089.12,96.59
2022-04-01 01:02:00+00:00,96.63,96.54,96.59,349.42,33734.02,96.54
2022-04-01 01:03:00+00:00,96.62,96.47,96.62,303.44,29241.16,96.47
2022-04-01 01:04:00+00:00,96.48,96.36,96.47,319.7,30799.22,96.36
2022-04-01 01:05:00+00:00,96.28,96.19,96.35,441.64,42480.23,96.19
2022-04-01 01:06:00+00:00,96.21,96.2,96.21,80.81,7780.5,96.2
2022-04-01 01:07:00+00:00,96.27,96.13,96.23,171.43,16488.01,96.18
2022-04-01 01:08:00+00:00,96.26,96.21,96.18,152.79,14700.69,96.21
2022-04-01 01:09:00+00:00,96.14,96.04,96.21,151.61,14561.27,96.04
