time,high,low,open,volume_from,volume_to,close
2022-04-01 00:00:00+00:00,1.622,1.617,1.618,53932.16,87377.93,1.618
2022-04-01 00:01:00+00:00,1.618,1.612,1.618,55980.12,90346.93,1.612
2022-04-01 00:02:00+00:00,1.618,1.611,1.612,69036.72,111445.77,1.618
2022-04-01 00:03:00+00:00,1.62,1.617,1.618,42597.98,68981.22,1.617
2022-04-01 00:04:00+00:00,1.621,1.617,1.617,32747.65,53059.87,1.62
2022-04-01 00:05:00+00:00,1.623,1.62,1.62,24889.41,40380.96,1.622
2022-04-01 00:06:00+00:00,1.624,1.622,1.622,72686.22,118047.65,1.624
2022-04-01 00:07:00+00:00,1.625,1.623,1.624,22705.58,36871.72,1.624
2022-04-01 00:08:00+00:00,1.624,1.621,1.624,62946.59,102100.5,1.622
2022-04-01 00:09:00+00:00,1.624,1.62,1.622,26151.06,42444.4,1.624
2022-04-01 00:10:00+00:00,1.625,1.62,1.624,18710.02,30340.92,1.621
2022-04-01 00:11:00+00:00,1.623,1.621,1.621,32528.18,52730.9,1.623
2022-04-01 00:12:00+00:00,1.626,1.623,1.623,19872.82,32282.6,1.625
2022-04-01 00:13:00+00:00,1.626,1.625,1.625,17411.2,28304.63,1.625
2022-04-01 00:14:00+00:00,1.626,1.624,1.625,20962.93,34070.17,1.626
2022-04-01 00:15:00+00:00,1.626,1.623,1.626,11311.82,18369.46,1.623
2022-04-01 00:16:00+00:00,1.623,1.622,1.623,14882.23,24144.06,1.622
2022-04-01 00:17:00+00:00,1.625,1.621,1.622,26080.07,42333.86,1.625
2022-04-01 00:18:00+00:00,1.627,1.622,1.625,21921.71,35591.96,1.622
2022-04-01 00:19:00+00:00,1.622,1.619,1.622,35950.2,58245.96,1.621
2022-04-01 00:20:00+00:00,1.622,1.621,1.621,13828.65,22421.37,1.622
2022-04-01 00:21:00+00:00,1.622,1.62,1.622,16705.3,27087.16,1.622
2022-04-01 00:22:00+00:00,1.624,1.622,1.622,11637.35,18892.97,1.624
2022-04-01 00:23:00+00:00,1.627,1.624,1.624,26542.47,43153.3,1.627
2022-04-01 00:24:00+00:00,1.628,1.627,1.627,15342.84,24970.53,1.627
2022-04-01 00:25:00+00:00,1.628,1.627,1.627,32805.06,53414.71,1.628
2022-04-01 00:26:00+00:00,1.628,1.628,1.628,15302.33,24918.63,1.628
2022-04-01 00:27:00+00:00,1.629,1.627,1.628,42624.64,69385.79,1.627
2022-04-01 00:28:00+00:00,1.629,1.627,1.627,7257.65,11814.58,1.628
2022-04-01 00:29:00+00:00,1.629,1.628,1.628,25009.34,40728.47,1.629
2022-04-01 00:30:00+00:00,1.631,1.628,1.629,61420.36,100099.16,1.628
2022-04-01 00:31:00+00:00,1.628,1.626,1.628,28174.74,45832.43,1.626
2022-04-01 00:32:00+00:00,1.626,1.62,1.626,39523.6,64088.7,1.62
2022-04-01 00:33:00+00:00,1.624,1.62,1.62,26637.58,43192.93,1.622
2022-04-01 00:34:00+00:00,1.623,1.622,1.622,3366.7,5460.01,1.622
2022-04-01 00:35:00+00:00,1.626,1.621,1.622,33469.8,54351.23,1.623
2022-04-01 00:36:00+00:00,1.629,1.623,1.623,45326.79,73724.64,1.628
2022-04-01 00:37:00+00:00,1.629,1.628,1.628,8528.51,13891.29,1.629
2022-04-01 00:38:00+00:00,1.63,1.628,1.629,42743.55,69676.22,1.63
2022-04-01 00:39:00+00:00,1.631,1.63,1.63,17836.37,29087.45,1.631
2022-04-01 00:40:00+00:00,1.632,1.631,1.631,20295.28,33113.75,1.632
2022-04-01 00:41:00+00:00,1.632,1.631,1.632,10286.3,16787.37,1.632
2022-04-01 00:42:00+00:00,1.633,1.632,1.632,18045.62,29455.48,1.633
2022-04-01 00:43:00+00:00,1.634,1.633,1.633,14462.84,23623.43,1.633
2022-04-01 00:44:00+00:00,1.634,1.633,1.633,19254.14,31466.34,1.634
2022-04-01 00:45:00+00:00,1.635,1.633,1.634,30653.34,50092.49,1.635
2022-04-01 00:46:00+00:00,1.635,1.634,1.635,5224.58,8535.76,1.634
2022-04-01 00:47:00+00:00,1.635,1.633,1.634,40281.33,65824.88,1.634
2022-04-01 00:48:00+00:00,1.635,1.634,1.634,29781.29,48668.5,1.634
2022-04-01 00:49:00+00:00,1.635,1.633,1.634,17773.58,29042.33,1.635
2022-04-01 00:50:00+00:00,1.635,1.634,1.635,13252.6,21661.08,1.635
2022-04-01 00:51:00+00:00,1.635,1.633,1.635,4188.57,6844.61,1.633
2022-04-01 00:52:00+00:00,1.634,1.633,1.633,5528.08,9030.37,1.634
2022-04-01 00:53:00+00:00,1.634,1.634,1.634,11870.26,19397.04,1.634
2022-04-01 00:54:00+00:00,1.635,1.633,1.634,9277,15162.02,1.634
2022-04-01 00:55:00+00:00,1.634,1.63,1.634,11996.93,19588.11,1.632
2022-04-01 00:56:00+00:00,1.633,1.632,1.632,8259.91,13483.24,1.632
2022-04-01 00:57:00+00:00,1.632,1.631,1.632,43181.71,70450.89,1.631
2022-04-01 00:58:00+00:00,1.632,1.63,1.631,8356.26,13627.12,1.631
2022-04-01 00:59:00+00:00,1.635,1.63,1.631,37121.78,60611.36,1.633
2022-04-01 01:00:00+00:00,1.633,1.631,1.633,20893.37,34090.85,1.632
2022-04-01 01:01:00+00:00,1.632,1.631,1.632,3430.7,5593.75,1.631
2022-04-01 01:02:00+00:00,1.632,1.631,1.631,628.2,1024.87,1.631
2022-04-01 01:03:00+00:00,1.631,1.63,1.631,4441.78,7242.72,1.631
2022-04-01 01:04:00+00:00,1.631,1.63,1.631,6840.1,11151.18,1.63
2022-04-01 01:05:00+00:00,1.63,1.629,1.63,19105.4,31123.74,1.629
2022-04-01 01:06:00+00:00,1.632,1.629,1.629,24049.98,39197.74,1.63
2022-04-01 01:07:00+00:00,1.63,1.627,1.63,20950.96,34103.48,1.629
2022-04-01 01:08:00+00:00,1.63,1.629,1.629,2974.64,4846.34,1.63
2022-04-01 01:09:00+00:00,1.631,1.628,1.63,14683.41,23904.7,1.628
2022-04-01 01:10:00+00:00,1.628,1.626,1.628,39725.8,64584.15,1.626
2022-04-01 01:11:00+00:00,1.627,1.625,1.626,36880.23,59971.43,1.627
2022-04-01 01:12:00+00:00,1.629,1.626,1.627,34276.64,55798.61,1.629
2022-04-01 01:13:00+00:00,1.629,1.627,1.629,8066.5,13125.72,1.627
2022-04-01 01:14:00+00:00,1.63,1.627,1.627,38910.93,63373.17,1.629
2022-04-01 01:15:00+00:00,1.631,1.627,1.629,21765.1,35468.14,1.631
2022-04-01 01:16:00+00:00,1.632,1.631,1.631,7085.65,11560.18,1.631
2022-04-01 01:17:00+00:00,1.634,1.631,1.631,36470.48,59496.72,1.633
2022-04-01 01:18:00+00:00,1.633,1.63,1.633,70839.02,115576.04,1.631
2022-04-01 01:19:00+00:00,1.631,1.63,1.631,8278.04,13491.94,1.63
2022-04-01 01:20:00+00:00,1.63,1.628,1.63,22203.15,36156.08,1.629
2022-04-01 01:21:00+00:00,1.629,1.628,1.629,3843.22,6255.6,1.628
2022-04-01 01:22:00+00:00,1.629,1.626,1.628,14655.12,23832.72,1.626
2022-04-01 01:23:00+00:00,1.627,1.626,1.626,13508.7,21969.05,1.626
2022-04-01 01:24:00+00:00,1.627,1.626,1.626,12045.49,19589.65,1.627
2022-04-01 01:25:00+00:00,1.627,1.624,1.627,9353.7,15205.64,1.624
2022-04-01 01:26:00+00:00,1.624,1.621,1.624,30877.65,50085.07,1.622
2022-04-01 01:27:00+00:00,1.622,1.62,1.622,26318.3,42651.38,1.62
2022-04-01 01:28:00+00:00,1.622,1.619,1.62,26930.2,43637.31,1.62
2022-04-01 01:29:00+00:00,1.621,1.619,1.62,23152.87,37502.56,1.621
2022-04-01 01:30:00+00:00,1.622,1.619,1.621,10194.19,16519.14,1.622
2022-04-01 01:31:00+00:00,1.623,1.621,1.622,29744.48,48256.85,1.623
2022-04-01 01:32:00+00:00,1.623,1.62,1.623,8800.2,14264.93,1.62
2022-04-01 01:33:00+00:00,1.622,1.62,1.62,14957.46,24238.69,1.621
2022-04-01 01:34:00+00:00,1.623,1.621,1.621,8044.53,13049.17,1.622
2022-04-01 01:35:00+00:00,1.623,1.621,1.622,6906.76,11201.47,1.621
2022-04-01 01:36:00+00:00,1.621,1.621,1.621,15327.19,24841.55,1.621
2022-04-01 01:37:00+00:00,1.621,1.62,1.621,10063.7,16305.12,1.62
2022-04-01 01:38:00+00:00,1.621,1.619,1.62,31109.09,50391.4,1.619
2022-04-01 01:39:00+00:00,1.627,1.619,1.619,40197.35,65330.25,1.626
2022-04-01 01:40:00+00:00,1.626,1.623,1.626,53984.56,87701.89,1.625
2022-04-01 01:41:00+00:00,1.626,1.625,1.625,7026.76,11423.95,1.625
2022-04-01 01:42:00+00:00,1.626,1.625,1.625,7645.4,12427.21,1.625
2022-04-01 01:43:00+00:00,1.625,1.624,1.625,13782.1,22389.88,1.624
2022-04-01 01:44:00+00:00,1.625,1.624,1.624,13420.55,21804.53,1.625
2022-04-01 01:45:00+00:00,1.625,1.625,1.625,4611.5,7494.72,1.625
2022-04-01 01:46:00+00:00,1.625,1.624,1.625,9344.11,15178.55,1.624
2022-04-01 01:47:00+00:00,1.624,1.62,1.624,39391.14,63852.48,1.621
2022-04-01 01:48:00+00:00,1.621,1.62,1.621,15690.22,25419.94,1.62
2022-04-01 01:49:00+00:00,1.622,1.62,1.62,12460.52,20188.98,1.622
