time,high,low,open,volume_from,volume_to,close
2022-04-01 00:00:00+00:00,123.17,122.74,122.84,2811.98,345812.29,122.74
2022-04-01 00:01:00+00:00,122.77,122.33,122.74,3757.19,460390.55,122.33
2022-04-01 00:02:00+00:00,122.99,122.32,122.33,5952.11,729750.92,122.99
2022-04-01 00:03:00+00:00,123.16,122.73,122.99,5277.33,648854.98,122.9
2022-04-01 00:04:00+00:00,123.36,122.89,122.9,5383.65,663381.91,123.35
2022-04-01 00:05:00+00:00,123.8,123.35,123.35,5552.6,686204.22,123.77
2022-04-01 00:06:00+00:00,123.87,123.73,123.77,4357.96,539641.93,123.75
2022-04-01 00:07:00+00:00,123.89,123.69,123.75,1711.84,211887.79,123.81
2022-04-01 00:08:00+00:00,123.81,123.53,123.81,4819.71,596095.26,123.62
2022-04-01 00:09:00+00:00,123.95,123.39,123.62,6255.51,774005.93,123.95
2022-04-01 00:10:00+00:00,123.96,123.34,123.95,3227.18,398821.2,123.44
2022-04-01 00:11:00+00:00,123.92,123.44,123.44,1955.72,241943.8,123.84
2022-04-01 00:12:00+00:00,124.23,123.84,123.84,2208.88,274045.15,124.23
2022-04-01 00:13:00+00:00,124.34,124.16,124.23,1367.38,169914.19,124.21
2022-04-01 00:14:00+00:00,124.34,124.13,124.21,3220.67,400579.88,124.32
2022-04-01 00:15:00+00:00,124.33,124.1,124.32,1221.64,151714.88,124.15
2022-04-01 00:16:00+00:00,124.18,124.09,124.15,1090.19,135284.52,124.14
2022-04-01 00:17:00+00:00,124.37,124.13,124.14,2986.73,371635.29,124.36
2022-04-01 00:18:00+00:00,124.41,123.93,124.36,3420,424202.27,123.94
2022-04-01 00:19:00+00:00,123.99,123.83,123.94,483.36,59816.43,123.99
2022-04-01 00:20:00+00:00,124,123.93,123.99,362.36,44876.51,124
2022-04-01 00:21:00+00:00,124.01,123.89,124,476.98,59072.39,123.94
2022-04-01 00:22:00+00:00,124.06,123.93,123.94,670.47,83080.68,124.01
2022-04-01 00:23:00+00:00,124.18,124,124.01,389.64,48325.43,124.16
2022-04-01 00:24:00+00:00,124.19,124.13,124.16,616.49,76535.76,124.14
2022-04-01 00:25:00+00:00,124.33,124.14,124.14,1393.06,173139.3,124.28
2022-04-01 00:26:00+00:00,124.33,124.24,124.28,517.31,64315.67,124.28
2022-04-01 00:27:00+00:00,124.28,124.05,124.28,1083.8,134507.01,124.07
2022-04-01 00:28:00+00:00,124.24,124.07,124.07,2505.54,311200.56,124.16
2022-04-01 00:29:00+00:00,124.23,124.13,124.16,1143.97,142082.16,124.21
2022-04-01 00:30:00+00:00,124.27,124.03,124.21,1229.83,152563.23,124.04
2022-04-01 00:31:00+00:00,124.04,123.69,124.04,860.25,106423.86,123.69
2022-04-01 00:32:00+00:00,123.74,123.26,123.69,2079.24,256310.2,123.32
2022-04-01 00:33:00+00:00,123.4,123.21,123.32,4345.92,535331.59,123.23
2022-04-01 00:34:00+00:00,123.24,123.07,123.23,883.91,108800.63,123.15
2022-04-01 00:35:00+00:00,123.54,123.01,123.15,3236.66,398988.62,123.23
2022-04-01 00:36:00+00:00,123.97,123.17,123.23,6792.18,839800.02,123.97
2022-04-01 00:37:00+00:00,124.02,123.75,123.97,2027.64,251209.83,123.77
2022-04-01 00:38:00+00:00,124,123.74,123.77,934.99,115903.62,123.99
2022-04-01 00:39:00+00:00,124.11,123.95,123.99,948.33,117634.53,124.09
2022-04-01 00:40:00+00:00,124.22,124.04,124.09,1254.69,155740.74,124.22
2022-04-01 00:41:00+00:00,124.3,124.09,124.22,1692.06,210117.26,124.29
2022-04-01 00:42:00+00:00,124.4,124.11,124.29,1265.89,157302.31,124.36
2022-04-01 00:43:00+00:00,124.4,124.24,124.36,864,107415.25,124.38
2022-04-01 00:44:00+00:00,124.56,124.37,124.38,5170.46,643688.34,124.46
2022-04-01 00:45:00+00:00,124.5,124.22,124.46,1274.04,158510.35,124.46
2022-04-01 00:46:00+00:00,124.46,124.31,124.46,753.72,93733.47,124.4
2022-04-01 00:47:00+00:00,124.45,124.21,124.4,1866.2,232108.59,124.42
2022-04-01 00:48:00+00:00,124.55,124.38,124.42,1782.22,221932.05,124.38
2022-04-01 00:49:00+00:00,124.64,124.36,124.38,1234.98,153852.63,124.64
2022-04-01 00:50:00+00:00,124.9,124.63,124.64,3271.72,408211.84,124.85
2022-04-01 00:51:00+00:00,124.85,124.54,124.85,1485.43,185167.94,124.56
2022-04-01 00:52:00+00:00,124.64,124.55,124.56,845.53,105338.34,124.62
2022-04-01 00:53:00+00:00,124.89,124.62,124.62,2452.93,306166.91,124.64
2022-04-01 00:54:00+00:00,124.93,124.6,124.64,1758.88,219548.13,124.6
2022-04-01 00:55:00+00:00,124.72,124.34,124.6,3393.42,422539.47,124.55
2022-04-01 00:56:00+00:00,124.58,124.41,124.55,1464.48,182352.4,124.48
2022-04-01 00:57:00+00:00,124.48,124.23,124.48,1494.05,185656.65,124.23
2022-04-01 00:58:00+00:00,124.4,124.13,124.23,1179.69,146582.86,124.17
2022-04-01 00:59:00+00:00,124.67,124.14,124.17,3319.27,412940.46,124.44
2022-04-01 01:00:00+00:00,124.44,124.11,124.44,1403.86,174344.08,124.11
2022-04-01 01:01:00+00:00,124.12,123.97,124.11,836.93,103831.07,124.09
2022-04-01 01:02:00+00:00,124.18,123.93,124.09,959.36,119027.29,123.93
2022-04-01 01:03:00+00:00,124.01,123.84,123.93,1566.94,194209.65,123.94
2022-04-01 01:04:00+00:00,123.94,123.77,123.94,1026.11,127084.21,123.78
2022-04-01 01:05:00+00:00,123.82,123.69,123.78,2141.13,265018.6,123.81
2022-04-01 01:06:00+00:00,124.16,123.8,123.81,3457.62,428565.01,123.84
2022-04-01 01:07:00+00:00,123.9,123.61,123.84,2104.78,260516.44,123.86
2022-04-01 01:08:00+00:00,123.96,123.78,123.86,1137.98,140929.35,123.95
2022-04-01 01:09:00+00:00,123.95,123.66,123.95,538.89,66743.74,123.66
2022-04-01 01:10:00+00:00,123.66,123.54,123.66,1430.59,176727.49,123.58
2022-04-01 01:11:00+00:00,123.75,123.53,123.58,1892.19,233903.88,123.75
2022-04-01 01:12:00+00:00,123.83,123.51,123.75,4722.36,583809.66,123.73
2022-04-01 01:13:00+00:00,123.73,123.56,123.73,795.3,98294.93,123.59
2022-04-01 01:14:00+00:00,123.84,123.52,123.59,2742.1,339164.56,123.81
2022-04-01 01:15:00+00:00,124.13,123.61,123.81,3622.32,448577.59,124.08
2022-04-01 01:16:00+00:00,124.08,123.99,124.08,1201.57,149072.39,124
2022-04-01 01:17:00+00:00,124.2,123.98,124,2388.41,296480.44,124.12
2022-04-01 01:18:00+00:00,124.14,123.94,124.12,989.72,122731.87,123.98
2022-04-01 01:19:00+00:00,124.03,123.76,123.98,539.96,66919.54,123.77
2022-04-01 01:20:00+00:00,123.82,123.6,123.77,1251,154763.66,123.65
2022-04-01 01:21:00+00:00,123.66,123.5,123.65,1175.05,145205.54,123.6
2022-04-01 01:22:00+00:00,123.62,123.37,123.6,1681.98,207661.65,123.42
2022-04-01 01:23:00+00:00,123.58,123.34,123.42,1531.95,189204.77,123.36
2022-04-01 01:24:00+00:00,123.59,123.33,123.36,4307.08,532077.21,123.55
2022-04-01 01:25:00+00:00,123.55,123.19,123.55,1189.7,146761.59,123.2
2022-04-01 01:26:00+00:00,123.25,123.01,123.2,2037.01,250793.73,123.05
2022-04-01 01:27:00+00:00,123.14,122.97,123.05,3332.12,409901.53,122.97
2022-04-01 01:28:00+00:00,123.28,122.92,122.97,3677.37,452697.83,122.99
2022-04-01 01:29:00+00:00,123.1,122.96,122.99,2442.55,300485.91,123
2022-04-01 01:30:00+00:00,123.21,122.92,123,5774.94,710300.57,123.18
2022-04-01 01:31:00+00:00,123.2,122.97,123.18,2468.75,303906.17,123.18
2022-04-01 01:32:00+00:00,123.22,122.93,123.18,1596.5,196494.89,122.95
2022-04-01 01:33:00+00:00,123.23,122.95,122.95,1833.37,225694.97,123.23
2022-04-01 01:34:00+00:00,123.36,123.2,123.23,1746.68,215445.5,123.21
2022-04-01 01:35:00+00:00,123.27,123.02,123.21,1721.88,211970.64,123.03
2022-04-01 01:36:00+00:00,123.03,122.8,123.03,2895.21,355579.57,122.82
2022-04-01 01:37:00+00:00,122.92,122.72,122.82,4980.6,611749.17,122.77
2022-04-01 01:38:00+00:00,122.87,122.67,122.77,2726.66,334738.17,122.67
2022-04-01 01:39:00+00:00,123.33,122.64,122.67,6800.92,836845.79,123.18
2022-04-01 01:40:00+00:00,123.31,122.99,123.18,3292.62,405341.85,123.31
2022-04-01 01:41:00+00:00,123.44,123.24,123.31,2384.03,294064.64,123.25
2022-04-01 01:42:00+00:00,123.27,123.05,123.25,496.92,61184.03,123.05
2022-04-01 01:43:00+00:00,123.08,122.96,123.05,1742.68,214330.89,123.01
2022-04-01 01:44:00+00:00,123.18,122.96,123.01,1130.8,139139.34,123.11
2022-04-01 01:45:00+00:00,123.11,122.98,123.11,748.64,92103.95,123.05
2022-04-01 01:46:00+00:00,123.05,122.81,123.05,958.82,117840.59,122.82
2022-04-01 01:47:00+00:00,122.82,122.27,122.82,8071.97,988129.62,122.36
2022-04-01 01:48:00+00:00,122.47,122.25,122.36,2494.89,305237.27,122.31
2022-04-01 01:49:00+00:00,122.65,122.31,122.31,2577.57,315822,122.54
2022-04-01 01:50:00+00:00,122.58,122.27,122.54,2153.25,263672.92,122.28
2022-04-01 01:51:00+00:00,122.33,121.66,122.28,14823.97,1807059.14,122.04
2022-04-01 01:52:00+00:00,122.09,121.63,122.04,23645.48,2870632.27,121.73
2022-04-01 01:53:00+00:00,121.74,121.54,121.73,9706.19,1180496.5,121.66
2022-04-01 01:54:00+00:00,121.8,121.39,121.66,24984.76,3036367.48,121.4
2022-04-01 01:55:00+00:00,121.99,121.32,121.4,10546.2,1284055.66,121.79
2022-04-01 01:56:00+00:00,122,121.68,121.79,3656.52,445583.75,121.92
2022-04-01 01:57:00+00:00,122.1,121.87,121.92,2975.72,363025.16,122.05
2022-04-01 01:58:00+00:00,122.06,121.5,122.05,2962.59,360479.31,121.53
2022-04-01 01:59:00+00:00,121.63,121.41,121.53,2930.19,356082.87,121.53
2022-04-01 02:00:00+00:00,121.59,121.21,121.53,4174.87,506645.75,121.3
2022-04-01 02:01:00+00:00,121.6,121.16,121.3,13924.5,1688542.61,121.44
2022-04-01 02:02:00+00:00,121.55,121.2,121.44,5407.8,656400.91,121.46
2022-04-01 02:03:00+00:00,121.88,121.43,121.46,8482.21,1033205.37,121.88
2022-04-01 02:04:00+00:00,122.17,121.87,121.88,4342.71,529936.32,121.96
2022-04-01 02:05:00+00:00,121.99,121.74,121.96,1572.16,191431.91,121.74
2022-04-01 02:06:00+00:00,122.07,121.57,121.74,5742.76,700295.11,122.05
2022-04-01 02:07:00+00:00,122.09,121.94,122.05,6620.79,807904.33,122.01
2022-04-01 02:08:00+00:00,122.04,121.8,122.01,5181.21,631938.46,122.02
2022-04-01 02:09:00+00:00,122.2,121.92,122.02,6122.77,746806.6,122.19
2022-04-01 02:10:00+00:00,122.41,122.13,122.19,2170.27,265495.57,122.41
2022-04-01 02:11:00+00:00,122.48,122.29,122.41,1670.38,204427.6,122.45
2022-04-01 02:12:00+00:00,122.52,122.37,122.45,2377.85,291135.31,122.49
2022-04-01 02:13:00+00:00,122.76,122.48,122.49,3769.71,462341.69,122.76
2022-04-01 02:14:00+00:00,122.92,122.47,122.76,4491.54,551030.52,122.56
2022-04-01 02:15:00+00:00,122.95,122.5,122.56,2448.95,300563.47,122.94
2022-04-01 02:16:00+00:00,123.33,122.94,122.94,4316.33,531661.22,123.33
2022-04-01 02:17:00+00:00,123.48,122.98,123.33,5649.63,696603.79,123.04
2022-04-01 02:18:00+00:00,123.04,122.51,123.04,2894.54,355111.22,122.51
2022-04-01 02:19:00+00:00,122.83,122.29,122.51,4336.33,531152.8,122.6
2022-04-01 02:20:00+00:00,122.78,122.25,122.6,2203.25,269711.48,122.34
2022-04-01 02:21:00+00:00,122.58,122.15,122.34,1911.67,233852.09,122.33
2022-04-01 02:22:00+00:00,122.33,121.83,122.33,4725.79,576376.16,121.98
2022-04-01 02:23:00+00:00,121.99,121.7,121.98,3199.9,389840.62,121.96
2022-04-01 02:24:00+00:00,121.97,121.55,121.96,2529.7,307777.19,121.57
2022-04-01 02:25:00+00:00,121.65,121.33,121.57,6596.63,800470.56,121.42
2022-04-01 02:26:00+00:00,121.43,120.7,121.42,34411.54,4154253.32,120.88
2022-04-01 02:27:00+00:00,121.1,120.88,120.88,6283.13,759081.46,121.08
2022-04-01 02:28:00+00:00,121.1,120.78,121.08,4897.4,591506.1,121.05
2022-04-01 02:29:00+00:00,121.14,120.88,121.05,2057.25,248627.75,121.07
2022-04-01 02:30:00+00:00,121.22,120.74,121.07,8100.67,978387.85,120.74
2022-04-01 02:31:00+00:00,121.35,120.74,120.74,5053.5,611217.99,121.33
2022-04-01 02:32:00+00:00,121.46,121.29,121.33,2984.87,362056.31,121.32
